state_district,year,state,district,candidatevotes,candidate,party,totalvotes,state_fips,state_po
"RI, 1",2016,Rhode Island,1,130534,David N. Cicilline,democrat,202371,44,RI
"RI, 2",2016,Rhode Island,2,133108,James R. Langevin,democrat,229148,44,RI
"SC, 1",2016,South Carolina,1,190410,Mark Sanford,republican,325170,45,SC
"SC, 2",2016,South Carolina,2,183746,Joe Wilson,republican,304996,45,SC
"SC, 3",2016,South Carolina,3,196325,Jeff Duncan,republican,269540,45,SC
"SC, 4",2016,South Carolina,4,198648,Trey Gowdy,republican,295670,45,SC
"SC, 5",2016,South Carolina,5,161669,Mick Mulvaney,republican,273006,45,SC
"SC, 6",2016,South Carolina,6,177947,James E. Clyburn,democrat,253901,45,SC
"SC, 7",2016,South Carolina,7,176468,Tom Rice,republican,289463,45,SC
"SD, 0",2016,South Dakota,0,237163,Kristi L. Noem,republican,369973,46,SD
"TN, 1",2016,Tennessee,1,198293,David P. Roe,republican,253025,47,TN
"TN, 2",2016,Tennessee,2,212455,John J. Duncan JR.,republican,280856,47,TN
"TN, 3",2016,Tennessee,3,176613,"Charles J. """"Chuck"""" Fleischmann",republican,266006,47,TN
"TN, 4",2016,Tennessee,4,165796,Scott DesJarlais,republican,254937,47,TN
"TN, 5",2016,Tennessee,5,171111,Jim Cooper,democrat,273544,47,TN
"TN, 6",2016,Tennessee,6,202234,Diane Black,republican,284490,47,TN
"TN, 7",2016,Tennessee,7,200407,Marsha Blackburn,republican,277513,47,TN
"TN, 8",2016,Tennessee,8,194386,David Kustoff,republican,282733,47,TN
"TN, 9",2016,Tennessee,9,171631,Steve Cohen,democrat,217957,47,TN
"TX, 1",2016,Texas,1,192434,Louie Gohmert,republican,260409,48,TX
"TX, 10",2016,Texas,10,179221,Michael T. McCaul,republican,312600,48,TX
"TX, 11",2016,Texas,11,201871,K. Michael Conaway,republican,225548,48,TX
"TX, 12",2016,Texas,12,196482,Kay Granger,republican,283115,48,TX
"TX, 13",2016,Texas,13,199050,Mac Thornberry,republican,221242,48,TX
"TX, 14",2016,Texas,14,160631,Randy K. Weber Sr.,republican,259685,48,TX
"TX, 15",2016,Texas,15,101712,Vicente Gonzalez,democrat,177479,48,TX
"TX, 16",2016,Texas,16,150228,Beto O'Rourke,democrat,175229,48,TX
"TX, 17",2016,Texas,17,149417,Bill Flores,republican,245728,48,TX
"TX, 18",2016,Texas,18,150157,Sheila Jackson Lee,democrat,204308,48,TX
"TX, 19",2016,Texas,19,176314,Jodey Arrington,republican,203475,48,TX
"TX, 2",2016,Texas,2,168692,Ted Poe,republican,278236,48,TX
"TX, 20",2016,Texas,20,149640,Joaquin Castro,democrat,187669,48,TX
"TX, 21",2016,Texas,21,202967,Lamar Smith,republican,356031,48,TX
"TX, 22",2016,Texas,22,181864,Pete Olson,republican,305543,48,TX
"TX, 23",2016,Texas,23,110577,Will Hurd,republican,228965,48,TX
"TX, 24",2016,Texas,24,154845,Kenny Marchant,republican,275635,48,TX
"TX, 25",2016,Texas,25,180988,Roger Williams,republican,310196,48,TX
"TX, 26",2016,Texas,26,211730,Michael C. Burgess,republican,319080,48,TX
"TX, 27",2016,Texas,27,142251,Blake Farenthold,republican,230580,48,TX
"TX, 28",2016,Texas,28,122086,Henry Cuellar,democrat,184442,48,TX
"TX, 29",2016,Texas,29,95649,Gene Green,democrat,131982,48,TX
"TX, 3",2016,Texas,3,193684,Sam Johnson,republican,316467,48,TX
"TX, 30",2016,Texas,30,170502,Eddie Bernice Johnson,democrat,218826,48,TX
"TX, 31",2016,Texas,31,166060,John R. Carter,republican,284588,48,TX
"TX, 32",2016,Texas,32,162868,Pete Sessions,republican,229171,48,TX
"TX, 33",2016,Texas,33,93147,Marc A. Veasey,democrat,126369,48,TX
"TX, 34",2016,Texas,34,104638,Filemon Vela,democrat,166961,48,TX
"TX, 35",2016,Texas,35,124612,Lloyd Doggett,democrat,197576,48,TX
"TX, 36",2016,Texas,36,193675,Brian Babin,republican,218565,48,TX
"TX, 4",2016,Texas,4,216643,John Ratcliffe,republican,246220,48,TX
"TX, 5",2016,Texas,5,155469,Jeb Hensarling,republican,192875,48,TX
"TX, 6",2016,Texas,6,159444,Joe Barton,republican,273296,48,TX
"TX, 7",2016,Texas,7,143542,John Abney Culberson,republican,255533,48,TX
"TX, 8",2016,Texas,8,236379,Kevin Brady,republican,236379,48,TX
"TX, 9",2016,Texas,9,152032,Al Green,democrat,188523,48,TX
"UT, 1",2016,Utah,1,182925,Rob Bishop,republican,277451,49,UT
"UT, 2",2016,Utah,2,170524,Chris Stewart,republican,276819,49,UT
"UT, 3",2016,Utah,3,209589,Jason Chaffetz,republican,285305,49,UT
"UT, 4",2016,Utah,4,147597,Mia B. Love,republican,274569,49,UT
"VA, 1",2016,Virginia,1,230213,Robert J. Wittman,republican,384601,51,VA
"VA, 10",2016,Virginia,10,210791,Barbara Comstock,republican,400083,51,VA
"VA, 11",2016,Virginia,11,247818,Gerald E. Connolly,democrat,282003,51,VA
"VA, 2",2016,Virginia,2,190475,Scott W. Taylor,republican,310567,51,VA
"VA, 3",2016,Virginia,3,208337,"Robert C. """"Bobby"""" Scott",democrat,312340,51,VA
"VA, 4",2016,Virginia,4,200136,A. Donald McEachin,democrat,346656,51,VA
"VA, 5",2016,Virginia,5,207758,Tom A. Garrett Jr.,republican,356756,51,VA
"VA, 6",2016,Virginia,6,225471,Bob Goodlatte,republican,338409,51,VA
"VA, 7",2016,Virginia,7,218057,Dave Brat,republican,379163,51,VA
"VA, 8",2016,Virginia,8,246653,Donald S. Beyer Jr.,democrat,360676,51,VA
"VA, 9",2016,Virginia,9,212838,H. Morgan Griffith,republican,310314,51,VA
"VT, 0",2016,Vermont,0,264414,Peter Welch,democrat,320467,50,VT
"WA, 1",2016,Washington,1,193619,Suzan K. DelBene,democrat,349398,53,WA
"WA, 10",2016,Washington,10,170460,Denny Heck,democrat,290564,53,WA
"WA, 2",2016,Washington,2,208314,Rick Larsen,democrat,325408,53,WA
"WA, 3",2016,Washington,3,193457,Jaime Herrera Beutler,republican,313277,53,WA
"WA, 4",2016,Washington,4,132517,Dan Newhouse,republican,229919,53,WA
"WA, 5",2016,Washington,5,192959,Cathy McMorris Rodgers,republican,323534,53,WA
"WA, 6",2016,Washington,6,201718,Derek Kilmer,democrat,327834,53,WA
"WA, 7",2016,Washington,7,212010,Pramila Jayapal,democrat,378754,53,WA
"WA, 8",2016,Washington,8,193145,David G. Reichert,republican,320865,53,WA
"WA, 9",2016,Washington,9,205165,Adam Smith,democrat,281482,53,WA
"WI, 1",2016,Wisconsin,1,230072,Paul D. Ryan,republican,354245,55,WI
"WI, 2",2016,Wisconsin,2,273537,Mark Pocan,democrat,398060,55,WI
"WI, 3",2016,Wisconsin,3,257401,Ron Kind,democrat,260370,55,WI
"WI, 4",2016,Wisconsin,4,220181,Gwen Moore,democrat,286909,55,WI
"WI, 5",2016,Wisconsin,5,260706,F. James Sensenbrenner Jr.,republican,390844,55,WI
"WI, 6",2016,Wisconsin,6,204147,Glenn Grothman,republican,357183,55,WI
"WI, 7",2016,Wisconsin,7,223418,Sean P. Duffy,republican,362271,55,WI
"WI, 8",2016,Wisconsin,8,227892,Mike Gallagher,republican,363780,55,WI
"WV, 1",2016,West Virginia,1,163469,David B. McKinley,republican,237003,54,WV
"WV, 2",2016,West Virginia,2,140807,Alexander X. Mooney,republican,242014,54,WV
"WV, 3",2016,West Virginia,3,140741,Evan H. Jenkins,republican,207332,54,WV
"WY, 0",2016,Wyoming,0,156176,Liz Cheney,republican,258788,56,WY
